Tipo,Tiempo (ms)
conexion,33
conexion,6
conexion,22
conexion,0
conexion,0
conexion,1
conexion,1
conexion,1
conexion,3
conexion,1
conexion,0
conexion,2
conexion,5
conexion,2
conexion,1
conexion,1
conexion,1
conexion,1
conexion,1
conexion,11
conexion,1
conexion,5
conexion,9
conexion,1
conexion,6
conexion,43
conexion,36
conexion,44
conexion,46
conexion,9
conexion,8
conexion,6
descifrado,3
descifrado,0
descifrado,2
descifrado,0
descifrado,3
descifrado,3
descifrado,3
descifrado,4
descifrado,4
descifrado,0
descifrado,4
descifrado,3
descifrado,1
descifrado,3
descifrado,0
descifrado,4
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
